,genres,early_access,sentiment,year,price,genre_encoded,sentiment_numeric
143,['Action'],False,Very Positive,2008,19.99,False,1
144,['RPG'],False,Mostly Positive,2008,9.99,False,3
145,"['Action', 'Adventure']",False,Very Positive,2009,19.99,False,1
146,"['Indie', 'Strategy']",False,Overwhelmingly Positive,2008,9.99,False,5
147,['Action'],False,Very Positive,2009,14.99,False,1
148,"['Strategy', 'Indie']",False,Mostly Positive,2008,7.99,False,3
149,"['Indie', 'Strategy']",False,Mostly Positive,2007,9.99,False,3
150,"['Action', 'Indie']",False,Mostly Positive,2009,4.99,False,3
151,['Strategy'],False,Very Positive,2005,9.99,False,1
152,"['Action', 'Adventure', 'Strategy']",False,Very Positive,2009,5.99,False,1
153,['Strategy'],False,Positive,2009,2.99,False,2
154,['Action'],False,Mixed,2009,4.99,False,0
155,"['Action', 'Adventure', 'Indie']",False,Very Positive,2007,9.99,False,1
156,['Action'],False,Very Positive,2007,19.99,False,1
157,['RPG'],False,Very Positive,2009,9.99,False,1
158,"['Indie', 'Simulation']",False,Mixed,2008,4.99,False,0
159,['Racing'],False,Very Positive,2009,19.99,False,1
160,"['Action', 'Indie']",False,Very Positive,2009,9.99,False,1
161,"['Casual', 'Indie']",False,Very Positive,2009,4.99,True,1
162,['Indie'],False,Mostly Positive,2009,9.99,False,3
163,"['Simulation', 'Strategy']",False,Mixed,2009,14.99,False,0
164,['Casual'],False,Mixed,2009,4.99,True,0
165,"['Massively Multiplayer', 'RPG']",False,Positive,2008,29.99,False,2
166,['Casual'],False,Mixed,2009,14.99,True,0
167,['Casual'],False,Mixed,2009,9.99,True,0
168,['RPG'],False,Mostly Positive,2009,9.99,False,3
169,['Strategy'],False,Mixed,2009,9.99,False,0
170,"['Action', 'Adventure', 'RPG']",False,Mixed,2009,9.99,False,0
171,"['Action', 'Indie']",False,Very Positive,2009,9.99,False,1
172,"['RPG', 'Strategy']",False,Very Positive,2008,6.99,False,1
173,"['Casual', 'Simulation']",False,Mostly Positive,2009,9.99,True,3
174,['Racing'],False,Mixed,2009,2.99,False,0
175,"['RPG', 'Strategy']",False,Very Positive,2005,4.99,False,1
177,"['Indie', 'Simulation', 'Strategy']",False,Positive,2009,14.99,False,2
178,"['Action', 'Simulation']",False,Very Positive,2009,0.0,False,1
179,"['Action', 'Adventure']",False,Very Positive,2009,19.99,False,1
180,"['Adventure', 'Indie']",False,Mostly Positive,2009,4.99,False,3
182,['RPG'],False,Very Positive,2007,14.99,False,1
184,['Adventure'],False,Mixed,2007,4.99,False,0
187,['Strategy'],False,Mixed,2008,4.99,False,0
188,['Action'],False,Very Positive,2009,9.99,False,1
189,['Adventure'],False,Positive,2007,6.99,False,2
190,['Adventure'],False,Positive,2006,6.99,False,2
191,['Adventure'],False,Positive,2008,6.99,False,2
192,['Adventure'],False,Positive,2007,6.99,False,2
193,"['Casual', 'Indie']",False,Very Positive,2008,0.0,True,1
194,"['Simulation', 'Sports']",False,Mostly Positive,2009,9.99,False,3
195,['Adventure'],False,Very Positive,2009,19.99,False,1
196,['Action'],False,Mostly Positive,2009,19.99,False,3
197,"['Action', 'Adventure', 'Racing', 'Simulation', 'Strategy']",False,Very Positive,2007,9.99,False,1
200,['Action'],False,Very Positive,2005,9.99,False,1
202,"['Action', 'Adventure']",False,Mostly Positive,2008,19.99,False,3
203,['Adventure'],False,Overwhelmingly Positive,2009,9.99,False,5
204,['Strategy'],False,Mostly Positive,2008,12.99,False,3
205,"['Action', 'Racing']",False,Mostly Positive,2009,9.99,False,3
206,['Adventure'],False,Mixed,2009,6.99,False,0
207,['Sports'],False,Mostly Positive,2006,9.99,False,3
208,['Adventure'],False,Mostly Positive,2006,19.99,False,3
209,['Action'],False,Mostly Positive,2007,19.99,False,3
210,['Adventure'],False,Mostly Positive,2006,19.99,False,3
211,['Action'],False,Positive,2009,7.99,False,2
212,"['Action', 'Casual']",False,Mixed,2008,9.99,True,0
213,"['Simulation', 'Strategy']",False,Very Positive,2009,6.99,False,1
214,['Action'],False,Mostly Positive,2008,9.99,False,3
215,"['Action', 'Adventure']",False,Mostly Positive,2009,9.99,False,3
216,['Action'],False,Mixed,2009,4.99,False,0
217,"['Action', 'Indie']",False,Mixed,2009,4.99,False,0
219,"['Indie', 'Casual']",False,Very Positive,2009,9.99,True,1
223,['Adventure'],False,Positive,2009,19.99,False,2
224,['Casual'],False,Positive,2009,19.99,True,2
225,['Casual'],False,Positive,2009,9.99,True,2
226,"['Adventure', 'Indie']",False,Very Positive,2009,4.99,False,1
227,['Action'],False,Very Positive,2005,9.99,False,1
228,"['Action', 'Racing']",False,Mixed,2009,9.99,False,0
229,['Strategy'],False,Mixed,2009,4.99,False,0
230,['Simulation'],False,Mostly Positive,2009,14.99,False,3
231,['Simulation'],False,Mixed,2009,9.99,False,0
232,"['Action', 'Adventure']",False,Very Positive,2009,9.99,False,1
233,"['Adventure', 'Casual', 'Indie']",False,Very Positive,2009,2.99,True,1
234,['Simulation'],False,Mixed,2009,24.99,False,0
235,"['Adventure', 'Casual']",False,Mostly Positive,2009,9.99,True,3
236,['Adventure'],False,Positive,2009,19.99,False,2
237,['Action'],False,Very Positive,2009,19.99,False,1
238,['Simulation'],False,Positive,2009,17.99,False,2
239,['Simulation'],False,Mixed,2009,9.99,False,0
240,['Simulation'],False,Very Positive,2009,19.99,False,1
241,['RPG'],False,Very Positive,2009,9.99,False,1
242,['Casual'],False,Mostly Positive,2009,3.99,True,3
243,['Strategy'],False,Mostly Positive,2009,9.99,False,3
244,"['Adventure', 'Indie']",False,Overwhelmingly Positive,2009,9.99,False,5
245,['Action'],False,Mostly Positive,2007,9.99,False,3
246,['Racing'],False,Mostly Positive,2009,19.99,False,3
247,['RPG'],False,Very Positive,2009,14.99,False,1
248,['Strategy'],False,Very Positive,2009,19.99,False,1
249,['Strategy'],False,Very Positive,2009,19.99,False,1
250,['Action'],False,Mostly Negative,2009,9.99,False,4
251,"['RPG', 'Strategy']",False,Mostly Positive,2009,14.99,False,3
252,['Adventure'],False,Very Positive,2009,9.99,False,1
253,['Strategy'],False,Very Positive,2009,4.99,False,1
254,['Adventure'],False,Mixed,2009,19.99,False,0
255,['Strategy'],False,Very Positive,2009,4.99,False,1
256,"['Action', 'Indie']",False,Very Positive,2009,4.99,False,1
257,"['Action', 'RPG']",False,Very Positive,2009,9.99,False,1
258,"['Action', 'Indie']",False,Very Positive,2009,14.99,False,1
259,['Adventure'],False,Mostly Positive,2009,9.99,False,3
260,['RPG'],False,Very Positive,2009,19.99,False,1
261,"['Action', 'RPG', 'Indie']",False,Mostly Positive,2009,4.99,False,3
262,"['Indie', 'Casual']",False,Mostly Positive,2009,1.99,True,3
263,['Strategy'],False,Mostly Positive,2009,9.99,False,3
264,['Action'],False,Very Positive,2009,19.99,False,1
265,['Adventure'],False,Very Positive,2009,19.99,False,1
266,['RPG'],False,Very Positive,2007,4.99,False,1
267,['RPG'],False,Very Positive,2008,9.99,False,1
268,['Strategy'],False,Very Positive,2007,14.99,False,1
269,['Strategy'],False,Very Positive,2009,19.99,False,1
270,"['Indie', 'Simulation', 'Strategy']",False,Very Positive,2009,14.99,False,1
271,['Simulation'],False,Mixed,2009,9.99,False,0
272,"['Action', 'Adventure', 'RPG']",False,Very Positive,2005,9.99,False,1
273,['Action'],False,Mostly Negative,2009,0.0,False,4
274,['Action'],False,Mixed,2009,19.99,False,0
275,['RPG'],False,Very Positive,2009,19.99,False,1
276,['Simulation'],False,Positive,2007,9.99,False,2
277,['Casual'],False,Mostly Positive,2009,1.99,True,3
278,"['Action', 'Adventure']",False,Very Positive,2008,19.99,False,1
279,"['Action', 'Indie', 'RPG']",False,Mixed,2010,9.99,False,0
280,"['Action', 'Free to Play', 'Indie']",False,Very Positive,2010,0.0,False,1
281,['Casual'],False,Positive,2008,4.99,True,2
282,['Casual'],False,Positive,2007,4.99,True,2
283,['Casual'],False,Mostly Positive,2010,6.99,True,3
284,"['Strategy', 'Casual']",False,Positive,2010,6.99,True,2
285,['Strategy'],False,Mostly Positive,2010,9.99,False,3
286,['Adventure'],False,Mostly Positive,2010,19.99,False,3
287,"['Action', 'Indie', 'Racing']",False,Very Positive,2010,4.99,False,1
288,['Action'],False,Mostly Positive,2010,6.99,False,3
289,['Action'],False,Mostly Positive,2010,7.49,False,3
291,"['Action', 'RPG']",False,Overwhelmingly Positive,2010,19.99,False,5
292,['Action'],False,Mixed,2010,4.99,False,0
293,"['Action', 'Indie']",False,Mixed,2010,4.99,False,0
294,['Action'],False,Mostly Positive,2010,9.99,False,3
295,['Action'],False,Mostly Positive,2010,19.99,False,3
296,"['Action', 'Adventure']",False,Mixed,2010,4.99,False,0
297,['Indie'],False,Very Positive,2010,0.99,False,1
298,"['Action', 'Casual', 'Indie']",False,Overwhelmingly Positive,2010,9.99,True,5
299,['Adventure'],False,Very Positive,2010,19.99,False,1
300,"['Simulation', 'Strategy']",False,Mostly Negative,2010,9.99,False,4
301,['Simulation'],False,Mostly Negative,2010,4.99,False,4
302,"['Adventure', 'Indie']",False,Very Positive,2010,4.99,False,1
305,"['Casual', 'Indie']",False,Mixed,2010,1.99,True,0
306,['Strategy'],False,Positive,2010,2.99,False,2
307,['Casual'],False,Mostly Negative,2009,6.99,True,4
308,['Casual'],False,Mostly Positive,2009,6.99,True,3
309,"['Action', 'Adventure']",False,Mostly Positive,2010,14.99,False,3
310,"['Action', 'Indie']",False,Mostly Negative,2010,4.99,False,4
311,['Casual'],False,Very Positive,2010,4.99,True,1
312,"['Casual', 'Indie']",False,Mostly Positive,2010,4.99,True,3
314,"['Action', 'RPG']",False,Very Positive,2010,14.99,False,1
315,['Action'],False,Mostly Positive,2010,9.99,False,3
316,['RPG'],False,Positive,2010,4.99,False,2
317,['RPG'],False,Mostly Positive,2010,4.99,False,3
318,['RPG'],False,Very Positive,2010,4.99,False,1
319,['RPG'],False,Positive,2010,4.99,False,2
320,['Action'],False,Overwhelmingly Positive,2010,0.0,False,5
321,['RPG'],False,Positive,2010,4.99,False,2
323,"['Strategy', 'RPG']",False,Mixed,2010,14.99,False,0
324,"['Casual', 'Indie']",False,Mostly Positive,2010,4.99,True,3
325,"['Action', 'Casual', 'Indie']",False,Mostly Negative,2010,9.99,True,4
326,['RPG'],False,Mostly Negative,2008,9.99,False,4
327,['Action'],False,Mixed,2010,9.99,False,0
328,"['Simulation', 'Strategy']",False,Very Positive,2010,9.99,False,1
329,['Strategy'],False,Very Positive,2010,4.99,False,1
330,['Action'],False,Very Positive,2011,29.99,False,1
331,"['RPG', 'Casual']",False,Very Positive,2010,9.99,True,1
332,['Action'],False,Mixed,2010,9.99,False,0
333,['Strategy'],False,Mixed,2010,9.99,False,0
334,['Simulation'],False,Mixed,2010,19.99,False,0
335,['Strategy'],False,Very Positive,2010,19.99,False,1
336,"['Indie', 'Simulation', 'Strategy']",False,Mostly Positive,2010,14.99,False,3
337,"['Action', 'Simulation', 'Strategy']",False,Very Positive,2010,8.99,False,1
338,['Strategy'],False,Very Positive,2010,19.99,False,1
339,['Action'],False,Mostly Positive,2010,1.99,False,3
340,['Simulation'],False,Mostly Negative,2010,19.99,False,4
342,['Adventure'],False,Very Positive,2010,5.99,False,1
343,['Casual'],False,Very Positive,2010,4.99,True,1
344,['Action'],False,Mixed,2010,9.99,False,0
345,['Action'],False,Mostly Positive,2010,1.99,False,3
346,"['Action', 'Indie']",False,Overwhelmingly Positive,2010,4.99,False,5
347,"['Action', 'Adventure', 'Indie']",False,Overwhelmingly Positive,2010,19.99,False,5
348,"['RPG', 'Indie']",False,Overwhelmingly Positive,2010,19.99,False,5
349,"['Action', 'Casual', 'Indie']",False,Mostly Positive,2010,3.99,True,3
350,['Simulation'],False,Mixed,2010,4.99,False,0
351,"['Indie', 'Simulation']",False,Mixed,2010,4.99,False,0
352,"['Casual', 'Indie']",False,Very Positive,2010,9.99,True,1
353,['Strategy'],False,Mixed,2010,14.99,False,0
354,"['RPG', 'Strategy']",False,Very Positive,2010,14.99,False,1
355,['Simulation'],False,Positive,2010,4.99,False,2
356,['Strategy'],False,Overwhelmingly Positive,2010,29.99,False,5
358,"['Indie', 'Strategy']",False,Very Positive,2010,9.99,False,1
359,"['Action', 'Adventure']",False,Very Positive,2010,2.99,False,1
360,['Action'],False,Mostly Positive,2010,9.99,False,3
361,"['Action', 'Adventure']",False,Very Positive,2010,19.99,False,1
363,['Strategy'],False,Mixed,2010,9.99,False,0
365,"['RPG', 'Strategy']",False,Mostly Positive,2010,9.99,False,3
366,"['Adventure', 'Casual', 'Simulation']",False,Very Positive,2010,7.99,True,1
367,"['Adventure', 'Casual', 'Indie', 'Simulation']",False,Very Positive,2010,14.99,True,1
368,"['RPG', 'Strategy']",False,Very Positive,2010,9.99,False,1
369,"['RPG', 'Strategy']",False,Very Positive,2010,5.99,False,1
370,['Action'],False,Mostly Positive,2010,19.99,False,3
371,"['Indie', 'RPG', 'Strategy']",False,Mixed,2010,9.99,False,0
372,"['Action', 'Adventure']",False,Mixed,2010,19.99,False,0
373,"['Adventure', 'Casual', 'Indie']",False,Mostly Negative,2010,4.99,True,4
374,"['Action', 'RPG']",False,Overwhelmingly Positive,2010,9.99,False,5
375,"['Action', 'Casual', 'Indie']",False,Mostly Positive,2010,6.99,True,3
376,"['Adventure', 'Indie']",False,Positive,2010,4.99,False,2
377,"['Indie', 'Racing']",False,Very Positive,2010,9.99,False,1
378,['Strategy'],False,Very Positive,2010,4.99,False,1
379,"['Action', 'Indie', 'RPG']",False,Very Positive,2010,14.99,False,1
380,"['Action', 'Adventure']",False,Positive,2010,4.99,False,2
381,"['Action', 'Indie']",False,Very Positive,2010,9.99,False,1
382,"['Action', 'Adventure', 'Indie']",False,Mostly Positive,2010,9.99,False,3
383,['Action'],False,Mixed,2010,19.99,False,0
384,"['Action', 'Casual']",False,Very Positive,2010,4.99,True,1
385,"['RPG', 'Simulation', 'Strategy']",False,Mostly Positive,2010,4.99,False,3
386,"['Action', 'Casual', 'Indie']",False,Very Positive,2010,9.99,True,1
387,['Casual'],False,Mixed,2010,4.99,True,0
388,"['Adventure', 'Indie']",False,Mostly Positive,2010,4.99,False,3
389,['Strategy'],False,Mostly Positive,2010,1.99,False,3
390,['Action'],False,Mixed,2010,9.99,False,0
391,['Casual'],False,Very Positive,2009,6.99,True,1
392,['Adventure'],False,Mixed,2010,12.99,False,0
393,"['Casual', 'Indie']",False,Positive,2007,4.99,True,2
394,"['Strategy', 'Indie']",False,Very Positive,2010,9.99,False,1
395,['Action'],False,Very Positive,2010,39.99,False,1
396,"['Casual', 'Indie']",False,Mixed,2010,4.99,True,0
397,"['Action', 'Adventure', 'Strategy']",False,Mostly Positive,2010,4.99,False,3
398,"['Action', 'Adventure', 'Strategy']",False,Very Positive,2010,9.99,False,1
399,"['Casual', 'Indie']",False,Mostly Positive,2010,4.99,True,3
400,['Adventure'],False,Very Positive,2010,19.99,False,1
402,['Action'],False,Very Positive,2005,14.99,False,1
403,"['Action', 'Adventure']",False,Mixed,2011,3.49,False,0
405,"['Action', 'Indie']",False,Mostly Positive,2011,9.99,False,3
406,"['Action', 'Indie']",False,Mostly Positive,2011,4.99,False,3
407,"['Action', 'Indie', 'Strategy']",False,Mostly Negative,2011,14.99,False,4
408,['Action'],False,Very Positive,2011,19.99,False,1
409,"['Adventure', 'Casual']",False,Very Positive,2011,9.99,True,1
410,['Adventure'],False,Mostly Positive,2011,4.99,False,3
411,"['Action', 'Strategy', 'Indie', 'Sports']",False,Very Positive,2011,4.99,False,1
412,"['Action', 'Adventure', 'Casual']",False,Mostly Positive,2011,9.99,True,3
413,['Simulation'],False,Very Positive,2009,19.99,False,1
414,['Simulation'],False,Positive,2010,19.99,False,2
415,['Simulation'],False,Positive,2009,19.99,False,2
416,['Simulation'],False,Very Positive,2010,19.99,False,1
417,['Simulation'],False,Positive,2010,19.99,False,2
418,['Simulation'],False,Mostly Positive,2010,19.99,False,3
419,"['Casual', 'Indie']",False,Mostly Positive,2011,4.99,True,3
420,"['Action', 'Casual', 'Indie']",False,Mostly Positive,2011,5.99,True,3
421,"['Adventure', 'Casual']",False,Mixed,2011,5.99,True,0
422,['RPG'],False,Mixed,2011,19.99,False,0
423,['Racing'],False,Mixed,2011,19.99,False,0
424,"['RPG', 'Strategy']",False,Mixed,2011,9.99,False,0
425,['RPG'],False,Mostly Positive,2011,19.99,False,3
426,['Strategy'],False,Mostly Positive,2011,9.99,False,3
427,"['Action', 'Indie']",False,Very Positive,2011,9.99,False,1
428,['Action'],False,Mixed,2011,19.99,False,0
429,"['Casual', 'Indie', 'Simulation', 'Strategy']",False,Very Positive,2011,9.99,True,1
430,['Indie'],False,Mostly Positive,2011,2.99,False,3
431,"['Free to Play', 'Massively Multiplayer', 'RPG']",False,Mostly Positive,2013,0.0,False,3
432,['Strategy'],False,Very Positive,2011,29.99,False,1
433,"['Indie', 'Casual']",False,Mixed,2011,3.99,True,0
434,['Action'],False,Mostly Negative,2011,9.99,False,4
435,['Simulation'],False,Mostly Positive,2011,3.99,False,3
436,['Racing'],False,Positive,2011,3.99,False,2
437,"['Action', 'Indie', 'Strategy']",False,Very Positive,2011,9.99,False,1
438,['Strategy'],False,Mixed,2010,14.99,False,0
439,['Strategy'],False,Very Positive,2011,9.99,False,1
440,"['Action', 'Indie']",False,Very Positive,2011,9.99,False,1
441,['Strategy'],False,Mixed,2011,9.99,False,0
442,"['Action', 'Adventure']",False,Overwhelmingly Positive,2011,19.99,False,5
443,"['Action', 'RPG']",False,Very Positive,2011,4.99,False,1
444,"['Action', 'Casual', 'Indie', 'Strategy']",False,Very Positive,2011,9.99,True,1
445,['Strategy'],False,Mostly Positive,2011,19.99,False,3
446,['Strategy'],False,Positive,2011,9.99,False,2
447,"['Indie', 'Strategy']",False,Very Positive,2011,24.99,False,1
448,"['Action', 'Adventure']",False,Mixed,2011,4.99,False,0
449,"['Adventure', 'Casual', 'Indie']",False,Mostly Positive,2011,9.99,True,3
450,['Simulation'],False,Positive,2011,19.99,False,2
451,"['Action', 'RPG']",False,Positive,2011,0.99,False,2
452,['Adventure'],False,Mixed,2009,7.99,False,0
453,['Adventure'],False,Very Positive,2005,7.99,False,1
454,['Action'],False,Mostly Positive,2011,14.99,False,3
455,"['Action', 'RPG']",False,Mixed,2011,14.99,False,0
456,['Action'],False,Mixed,2011,19.99,False,0
457,"['Action', 'Free to Play']",False,Mixed,2011,0.0,False,0
458,"['Free to Play', 'Massively Multiplayer', 'RPG']",False,Mostly Positive,2009,0.0,False,3
459,"['Action', 'Adventure', 'Free to Play', 'Indie', 'Massively Multiplayer', 'RPG']",False,Very Positive,2011,0.0,False,1
460,['Strategy'],False,Mixed,2011,9.99,False,0
461,['Indie'],False,Very Positive,2011,0.0,False,1
462,['Strategy'],False,Very Positive,2011,19.99,False,1
463,"['Indie', 'Casual']",False,Mostly Positive,2011,9.99,True,3
464,"['Action', 'Casual', 'Indie']",False,Very Positive,2011,4.99,True,1
465,"['Indie', 'Casual']",False,Very Positive,2011,9.99,True,1
466,['Strategy'],False,Mixed,2011,9.99,False,0
467,"['Action', 'RPG']",False,Positive,2011,2.99,False,2
468,['Action'],False,Mostly Positive,2011,19.99,False,3
469,"['Action', 'RPG']",False,Mostly Positive,2011,1.99,False,3
470,"['Action', 'RPG']",False,Mostly Positive,2011,1.99,False,3
471,"['Action', 'RPG']",False,Mostly Positive,2011,1.99,False,3
472,"['Action', 'RPG']",False,Mostly Negative,2011,14.99,False,4
473,['Racing'],False,Positive,2011,3.99,False,2
474,"['Adventure', 'Casual']",False,Very Positive,2011,9.99,True,1
475,['Action'],False,Positive,2011,7.99,False,2
476,"['Action', 'Adventure', 'Indie']",False,Mostly Positive,2011,0.99,False,3
477,"['Action', 'RPG']",False,Very Positive,2011,4.99,False,1
478,"['Indie', 'Casual']",False,Mostly Positive,2011,4.99,True,3
479,['Action'],False,Positive,2011,0.99,False,2
480,"['Adventure', 'Indie', 'RPG']",False,Mostly Positive,2011,9.99,False,3
481,['Strategy'],False,Mixed,2011,1.99,False,0
482,['Adventure'],False,Mostly Positive,2010,6.99,False,3
483,"['Action', 'Simulation', 'Strategy']",False,Very Positive,2011,4.99,False,1
484,"['Casual', 'Indie']",False,Positive,2011,1.99,True,2
485,"['Simulation', 'Strategy']",False,Very Positive,2011,14.99,False,1
486,['Adventure'],False,Positive,2011,6.99,False,2
487,['Adventure'],False,Mixed,2010,6.99,False,0
488,"['Indie', 'Casual']",False,Mixed,2011,6.99,True,0
489,"['Action', 'Indie']",False,Very Positive,2011,6.99,False,1
490,['Strategy'],False,Mixed,2011,4.99,False,0
491,['Strategy'],False,Positive,2011,4.99,False,2
492,['Indie'],False,Mostly Negative,2011,4.99,False,4
493,"['Action', 'Indie', 'RPG', 'Strategy']",False,Very Positive,2011,9.99,False,1
494,"['Action', 'RPG']",False,Very Positive,2011,4.99,False,1
